epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.322,1.24543,1.87686,1.25564,0.72259,0.60293,0.67146,0.39393,1.07939,1.75608,1.06972,0.000333118,0.000333118,0.000333118
2,370.351,1.20932,0.99465,1.25622,0.69929,0.6313,0.67384,0.39731,1.06616,1.95252,1.09416,0.000600473,0.000600473,0.000600473
3,545.837,1.17939,0.89995,1.24239,0.75278,0.75045,0.78595,0.46345,1.04588,1.00569,1.07161,0.000801828,0.000801828,0.000801828
4,728.723,1.12943,0.79546,1.21652,0.78841,0.79358,0.80536,0.49171,0.98593,1.7968,1.0511,0.000703,0.000703,0.000703
5,905.175,1.07569,0.71099,1.18713,0.83414,0.76786,0.82739,0.50991,0.98706,0.88645,1.03888,0.000604,0.000604,0.000604
6,1083.51,1.02824,0.64502,1.15702,0.83903,0.77974,0.84562,0.53646,0.94746,0.7198,1.01527,0.000505,0.000505,0.000505
7,1253.97,0.9896,0.5905,1.1366,0.80491,0.80546,0.84131,0.5351,0.93722,0.7268,1.01699,0.000406,0.000406,0.000406
8,1420.6,0.95394,0.54574,1.1148,0.81454,0.85979,0.86781,0.5623,0.92431,0.63061,1.01118,0.000307,0.000307,0.000307
9,1587.55,0.91385,0.50469,1.09699,0.82469,0.84401,0.87558,0.56984,0.91695,0.64089,1.00423,0.000208,0.000208,0.000208
10,1763.91,0.87648,0.46742,1.07454,0.82256,0.87296,0.9009,0.5928,0.89738,0.60194,0.9915,0.000109,0.000109,0.000109
