epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,417.78,1.59583,2.04268,1.63958,0.77645,0.37581,0.46204,0.24939,1.31753,1.84133,1.36403,0.0673439,0.000666452,0.000666452
2,811.534,1.50909,1.72786,1.57688,0.62162,0.50626,0.55221,0.27031,1.37438,2.37682,1.36798,0.0346567,0.00131263,0.00131263
3,1181.27,1.44513,1.5791,1.5358,0.58052,0.58285,0.57519,0.32428,1.22684,1.21366,1.29985,0.00194906,0.00193831,0.00193831
4,1578.95,1.38971,1.42643,1.48626,0.66798,0.61463,0.63,0.34044,1.22038,1.42391,1.2634,0.00190778,0.00190778,0.00190778
5,1970.01,1.35113,1.30956,1.45735,0.80909,0.62981,0.72913,0.41339,1.14207,1.04077,1.19624,0.00187705,0.00187705,0.00187705
6,2357.97,1.30733,1.21736,1.41466,0.72862,0.69241,0.74738,0.41754,1.18485,1.03664,1.25168,0.00184631,0.00184631,0.00184631
7,2739.72,1.29748,1.15967,1.413,0.73173,0.72788,0.77411,0.42739,1.215,0.94707,1.24873,0.00181557,0.00181557,0.00181557
8,3120.6,1.27417,1.12482,1.4015,0.81324,0.72492,0.77759,0.44099,1.18206,0.91276,1.24281,0.00178483,0.00178483,0.00178483
9,3501.64,1.25154,1.06741,1.37834,0.75873,0.75542,0.77574,0.4537,1.11693,0.97181,1.19893,0.00175409,0.00175409,0.00175409
10,3873.32,1.23009,1.02243,1.35931,0.73378,0.77771,0.79839,0.45616,1.17234,0.88932,1.23796,0.00172335,0.00172335,0.00172335
11,4271.78,1.22415,0.99668,1.36051,0.7989,0.78475,0.82052,0.47178,1.15583,0.86861,1.20337,0.00169262,0.00169262,0.00169262
12,4672.06,1.21804,0.9765,1.34688,0.82427,0.77661,0.83609,0.48561,1.13843,0.86419,1.18778,0.00166188,0.00166188,0.00166188
13,5068.85,1.21042,0.94343,1.34441,0.78543,0.80495,0.83248,0.47374,1.15379,0.7437,1.19473,0.00163114,0.00163114,0.00163114
14,5470.88,1.19508,0.934,1.33025,0.8203,0.77977,0.82126,0.4736,1.16939,0.75892,1.19102,0.0016004,0.0016004,0.0016004
15,5845.8,1.1913,0.92195,1.3317,0.76659,0.82337,0.83143,0.47764,1.14917,0.75292,1.18161,0.00156966,0.00156966,0.00156966
16,6243.1,1.18563,0.89807,1.32214,0.8441,0.80973,0.85555,0.50981,1.106,0.68812,1.15338,0.00153892,0.00153892,0.00153892
17,6644.51,1.17143,0.87308,1.31211,0.86052,0.77619,0.84615,0.4956,1.14512,0.76212,1.19305,0.00150818,0.00150818,0.00150818
18,7043.22,1.16666,0.86473,1.31548,0.83413,0.83459,0.86463,0.51239,1.08629,0.76134,1.15335,0.00147745,0.00147745,0.00147745
